(-4.00, -0.52, 7.97)
(4.00, 3.93, 7.98)
(-0.03, 2.42, 7.98)
(-0.04, 2.41, 7.98)
(-0.06, 2.40, 7.98)
(-0.06, 2.40, 7.98)
(-0.05, 2.40, 7.98)
(-0.06, 2.41, 7.98)
(-0.05, 2.41, 7.98)
(-0.05, 2.40, 7.98)
(-0.03, 2.40, 7.98)
(-0.03, 2.40, 7.98)
(-0.02, 2.40, 7.98)
(-0.02, 2.40, 7.98)
(-0.03, 2.40, 7.98)
(-0.03, 2.40, 7.98)
(-0.04, 2.39, 7.98)
(-0.05, 2.39, 7.98)
(-0.05, 2.39, 7.98)
(-0.04, 2.39, 7.98)
(-0.01, 2.39, 7.98)
(0.02, 2.39, 7.98)
(0.03, 2.38, 7.98)
(0.05, 2.39, 7.98)
(0.05, 2.39, 7.98)
(0.02, 2.39, 7.98)
(0.01, 2.39, 7.98)
(0.00, 2.39, 7.98)
(0.01, 2.40, 7.98)
(0.01, 2.40, 7.98)
(0.00, 2.39, 7.98)
(-0.01, 2.39, 7.98)
(0.00, 2.40, 7.98)
(-0.01, 2.39, 7.98)
(-0.01, 2.37, 7.98)
(0.00, 2.38, 7.98)
(0.01, 2.36, 7.98)
(-0.18, 2.37, 7.98)
(-1.04, 2.36, 7.98)
(-1.34, 2.28, 7.98)
(-1.30, 2.64, 7.98)
(-1.27, 2.62, 7.98)
(-1.22, 2.63, 7.98)
(-1.25, 2.49, 7.98)
(-1.28, 2.49, 7.98)
(-2.29, 2.59, 7.98)
(-2.13, 2.57, 7.98)
(-2.21, 2.58, 7.98)
(-2.17, 2.60, 7.98)
(-2.10, 2.61, 7.98)
(-1.98, 2.96, 7.98)
(-2.04, 2.67, 7.98)
(-1.99, 2.70, 7.98)
(-1.96, 2.70, 7.98)
(-1.89, 2.70, 7.98)
(-1.77, 2.69, 7.98)
(-1.74, 2.70, 7.98)
(-1.74, 2.76, 7.98)
(-1.75, 2.75, 7.98)
(-1.51, 2.61, 7.98)
(-0.70, 1.86, 7.98)
(-0.41, 1.19, 7.98)
(-0.29, 0.23, 7.98)
(-0.18, 0.15, 7.98)
(-0.13, 0.25, 7.98)
(-0.08, 0.28, 7.98)
(-0.05, 0.31, 7.98)
(-0.04, 0.41, 7.98)
(-0.83, 0.26, 7.98)
(-0.60, 0.24, 7.98)
(-0.54, 0.27, 7.98)
(-0.55, 0.30, 7.98)
(-0.51, 0.28, 7.98)
(-0.49, 0.23, 7.98)
(-0.52, 0.26, 7.98)
(-0.35, 0.19, 7.80)
(-0.43, 0.22, 7.98)
(-0.33, 0.20, 7.80)
(-0.27, 0.23, 7.81)
(-0.29, 0.23, 7.82)
(-0.06, 0.07, 7.98)
(-0.09, 0.13, 7.98)
(-0.11, 0.23, 7.88)
(-0.10, 0.21, 7.83)
(-0.08, 0.21, 7.86)
(-0.11, 0.12, 7.81)
(-0.08, 0.19, 7.82)
(-0.09, 0.18, 7.80)
(-0.09, 0.18, 7.79)
(-0.11, 0.18, 7.79)
(-0.11, 0.17, 7.80)
(-0.12, 0.15, 7.80)
(-0.10, 0.15, 7.80)
(-0.09, 0.14, 7.80)
(-0.08, 0.15, 7.80)
(-0.07, 0.15, 7.80)
(-0.06, 0.14, 7.81)
(-0.04, 0.13, 7.81)
(0.02, 0.07, 7.84)
(0.02, 0.06, 7.84)
(0.01, 0.08, 7.83)
(0.03, 0.09, 7.82)
(0.03, 0.11, 7.81)
(-0.08, 0.21, 7.98)
(0.05, 0.15, 7.80)
(0.05, 0.20, 7.83)
(-0.06, 0.19, 7.98)
(0.02, 0.25, 7.98)
(0.04, 0.17, 7.98)
(0.06, 0.21, 7.87)
(0.06, 0.22, 7.98)
(0.06, 0.21, 7.98)
(0.10, 0.20, 7.98)
(0.09, 0.19, 7.98)
(0.10, 0.19, 7.98)
(0.12, 0.19, 7.98)
(0.16, 0.20, 7.86)
(0.16, 0.17, 7.98)
(0.17, 0.18, 7.91)
(0.22, 0.18, 7.85)
(0.22, 0.19, 7.86)
(0.27, 0.20, 7.83)
(0.27, 0.15, 7.81)
(0.30, 0.13, 7.82)
(0.30, 0.13, 7.83)
(0.30, 0.12, 7.83)
(0.31, 0.08, 7.89)
(0.32, -0.01, 7.98)
(0.39, 0.04, 7.87)
(0.41, -0.01, 7.98)
(0.48, -0.02, 7.98)
(0.49, -0.03, 7.98)
(0.50, -0.07, 7.98)
(0.51, -0.08, 7.98)
(0.55, -0.07, 7.98)
(0.57, -0.07, 7.98)
(0.56, -0.05, 7.98)
(0.57, -0.05, 7.98)
(0.58, -0.01, 7.98)
(0.58, 0.01, 7.90)
(0.57, 0.03, 7.85)
(0.58, 0.06, 7.82)
(0.61, 0.08, 7.81)
(0.62, 0.09, 7.80)
(0.65, 0.09, 7.80)
(0.64, 0.10, 7.80)
(0.64, 0.10, 7.81)
(0.64, 0.10, 7.81)
(0.64, 0.09, 7.83)
(0.63, 0.09, 7.85)
(0.64, 0.09, 7.88)
(0.67, 0.08, 7.85)
(0.69, 0.08, 7.83)
(0.70, 0.08, 7.85)
(0.72, 0.08, 7.82)
(0.71, 0.08, 7.86)
(0.71, 0.08, 7.87)
(0.73, 0.06, 7.98)
(0.71, 0.05, 7.98)
(0.70, 0.05, 7.98)
(0.70, 0.04, 7.98)
(0.82, 0.04, 7.84)
(0.84, 0.04, 7.84)
(0.85, 0.03, 7.85)
(0.87, -0.01, 7.98)
(0.85, -0.02, 7.98)
(0.98, -0.04, 7.98)
(0.98, -0.05, 7.98)
(1.00, -0.07, 7.98)
(1.04, -0.10, 7.98)
(1.00, -0.13, 7.98)
(1.04, -0.16, 7.98)
(1.05, -0.17, 7.98)
(1.10, -0.18, 7.98)
(1.10, -0.17, 7.98)
(1.11, -0.19, 7.98)
(1.18, -0.18, 7.98)
(1.21, -0.18, 7.98)
(1.20, -0.19, 7.98)
(1.22, -0.17, 7.98)
(1.21, -0.16, 7.98)
(1.21, -0.15, 7.98)
(1.23, -0.17, 7.98)
(1.25, -0.17, 7.98)
(1.26, -0.17, 7.98)
(1.26, -0.16, 7.98)
(1.29, -0.16, 7.98)
(1.27, -0.14, 7.98)
(1.29, -0.13, 7.98)
(1.29, -0.12, 7.98)
(1.31, -0.11, 7.98)
(1.31, -0.11, 7.98)
(1.30, -0.12, 7.98)
(1.27, -0.12, 7.98)
(1.30, -0.13, 7.98)
(1.31, -0.13, 7.98)
(1.32, -0.13, 7.98)
(1.35, -0.09, 7.98)
(1.35, -0.03, 7.98)
(1.35, 0.00, 7.98)
(1.35, 0.00, 7.98)
(1.35, 0.00, 7.98)
(1.35, 0.00, 7.98)
(1.38, 0.02, 7.98)
(1.33, 0.06, 7.98)
(1.16, -0.02, 7.98)
(0.86, 0.07, 7.80)
(0.83, -0.04, 7.98)
(0.88, -0.04, 7.98)
(0.87, -0.04, 7.98)
(0.86, -0.03, 7.98)
(0.88, -0.04, 7.98)
(0.87, -0.03, 7.98)
(0.88, -0.04, 7.98)
(0.88, -0.05, 7.98)
(0.87, -0.04, 7.98)
(0.89, -0.05, 7.98)
(0.87, -0.05, 7.98)
(0.86, -0.04, 7.98)
(0.86, -0.04, 7.98)
(0.79, -0.03, 7.98)
(0.77, -0.03, 7.98)
(0.73, -0.02, 7.98)
(0.72, -0.02, 7.98)
(0.69, 0.05, 7.84)
(0.70, 0.03, 7.98)
(0.70, 0.03, 7.98)
(0.66, 0.03, 7.98)
(0.67, 0.03, 7.98)
(0.67, 0.03, 7.98)
(0.66, 0.04, 7.98)
(0.61, 0.04, 7.98)
(0.61, 0.04, 7.98)
(1.10, -0.11, 7.98)
(1.58, 0.11, 7.98)
(2.08, 0.10, 7.98)
(1.77, 0.08, 7.98)
(1.91, -0.20, 7.98)
(1.94, -0.03, 7.98)
(2.03, -0.17, 7.98)
(2.22, -0.13, 7.98)
(2.35, -0.12, 7.98)
(2.41, -0.13, 7.98)
(2.47, -0.12, 7.98)
(2.44, -0.13, 7.98)
(2.42, -0.11, 7.98)
(2.41, -0.12, 7.98)
(2.40, -0.08, 7.98)
(2.38, -0.03, 7.98)
(2.37, -0.02, 7.98)
(2.33, 0.03, 7.98)
(2.26, 0.06, 7.98)
(2.27, 0.04, 7.98)
(2.27, 0.04, 7.98)
(2.25, 0.03, 7.98)
(2.24, 0.04, 7.98)
(2.24, 0.03, 7.98)
(2.24, 0.06, 7.98)
(2.25, 0.05, 7.98)
(2.26, 0.04, 7.98)
(2.26, 0.05, 7.98)
(2.26, 0.03, 7.98)
(2.30, 0.04, 7.98)
(2.29, 0.06, 7.98)
(2.28, 0.05, 7.98)
(2.29, 0.06, 7.98)
(2.29, 0.10, 7.98)
(2.27, 0.10, 7.98)
(2.27, 0.09, 7.98)
(2.27, 0.10, 7.98)
(2.27, 0.12, 7.98)
(2.25, 0.13, 7.98)
(2.25, 0.14, 7.98)
(2.26, 0.13, 7.98)
(2.26, 0.12, 7.98)
(2.28, 0.15, 7.98)
(2.32, 0.14, 7.98)
(2.29, 0.12, 7.98)
(2.26, 0.12, 7.98)
(2.26, 0.13, 7.98)
(2.26, 0.14, 7.98)
(2.27, 0.14, 7.98)
(2.27, 0.11, 7.98)
(2.27, 0.13, 7.98)
(2.25, 0.13, 7.98)
(2.25, 0.13, 7.98)
(2.24, 0.13, 7.98)
(2.24, 0.13, 7.98)
(2.24, 0.13, 7.98)
(2.26, 0.14, 7.98)
(2.28, 0.14, 7.98)
(2.30, 0.15, 7.98)
(2.29, 0.15, 7.98)
(2.28, 0.16, 7.98)
(2.27, 0.17, 7.98)
(2.28, 0.18, 7.98)
(2.27, 0.18, 7.98)
(2.28, 0.18, 7.98)
(2.27, 0.18, 7.98)
(2.27, 0.17, 7.98)
(2.30, 0.18, 7.98)
(2.30, 0.19, 7.98)
(2.28, 0.18, 7.98)
(2.29, 0.18, 7.98)
(2.29, 0.18, 7.98)
(2.29, 0.19, 7.98)
(2.29, 0.18, 7.98)
(2.31, 0.18, 7.98)
(2.30, 0.19, 7.98)
(2.30, 0.19, 7.98)
(2.29, 0.18, 7.98)
(2.30, 0.17, 7.98)
(2.28, 0.17, 7.98)
(2.29, 0.17, 7.98)
(2.31, 0.18, 7.98)
(2.29, 0.19, 7.98)
(2.29, 0.18, 7.98)
(2.26, 0.18, 7.98)
(2.25, 0.18, 7.98)
(2.25, 0.18, 7.98)
(2.25, 0.17, 7.98)
