(-4.00, -1.05, 7.97)
(4.00, 4.45, 7.98)
(0.03, 1.31, 7.98)
(0.07, 1.23, 7.98)
(0.08, 1.24, 7.98)
(0.08, 1.24, 7.98)
(0.07, 1.24, 7.98)
(0.16, 1.24, 7.98)
(0.14, 1.24, 7.98)
(0.12, 1.24, 7.98)
(0.14, 1.26, 7.98)
(0.13, 1.26, 7.98)
(0.11, 1.27, 7.98)
(0.10, 1.29, 7.98)
(0.09, 1.30, 7.98)
(0.04, 1.32, 7.98)
(0.04, 1.31, 7.98)
(0.03, 1.31, 7.98)
(0.03, 1.30, 7.98)
(0.03, 1.30, 7.98)
(0.05, 1.30, 7.98)
(0.04, 1.29, 7.98)
(0.05, 1.28, 7.98)
(0.05, 1.27, 7.98)
(0.06, 1.26, 7.98)
(0.05, 1.27, 7.98)
(0.06, 1.28, 7.98)
(0.07, 1.29, 7.98)
(0.07, 1.28, 7.98)
(0.07, 1.26, 7.98)
(0.08, 1.24, 7.98)
(0.08, 1.24, 7.98)
(0.08, 1.25, 7.98)
(0.08, 1.26, 7.98)
(0.08, 1.27, 7.98)
(0.08, 1.27, 7.98)
(0.08, 1.28, 7.98)
(0.09, 1.32, 7.98)
(0.08, 1.30, 7.98)
(0.00, 1.19, 7.98)
(-0.09, 0.83, 7.98)
(-0.26, 0.70, 7.98)
(-0.36, 0.36, 7.98)
(-0.34, 0.31, 7.98)
(-0.33, 0.24, 7.98)
(-0.36, 0.29, 7.98)
(-0.33, 0.32, 7.98)
(-0.34, 0.30, 7.98)
(-0.33, 0.31, 7.98)
(-0.33, 0.31, 7.98)
(-0.33, 0.30, 7.98)
(-0.33, 0.29, 7.98)
(-0.37, 0.29, 7.98)
(-0.40, 0.31, 7.98)
(-0.37, 0.30, 7.98)
(-0.41, 0.35, 7.98)
(-0.40, 0.35, 7.98)
(-0.39, 0.35, 7.98)
(-0.42, 0.30, 7.98)
(-0.44, 0.33, 7.98)
(-0.44, 0.29, 7.98)
(-0.46, 0.39, 7.98)
(-0.46, 0.40, 7.98)
(-0.47, 0.39, 7.98)
(-0.48, 0.41, 7.98)
(-0.48, 0.41, 7.98)
(-0.49, 0.42, 7.98)
(-0.49, 0.44, 7.98)
(-0.49, 0.45, 7.98)
(-0.49, 0.47, 7.98)
(-0.50, 0.53, 7.98)
(-0.50, 0.53, 7.98)
(-0.51, 0.55, 7.98)
(-0.51, 0.57, 7.98)
(-0.51, 0.59, 7.98)
(-0.47, 0.61, 7.98)
(0.15, 1.07, 7.98)
(0.52, 1.54, 7.98)
(0.76, 1.91, 7.98)
(0.91, 2.01, 7.98)
(0.86, 1.97, 7.98)
(0.88, 1.84, 7.98)
(0.86, 1.93, 7.98)
(0.84, 1.90, 7.98)
(0.83, 1.90, 7.98)
(0.84, 1.92, 7.98)
(0.85, 1.91, 7.98)
(0.83, 1.93, 7.98)
(0.85, 2.09, 7.98)
(0.89, 2.41, 7.98)
(0.91, 2.41, 7.98)
(0.95, 2.40, 7.98)
(0.96, 2.38, 7.98)
(0.97, 2.39, 7.98)
(1.01, 2.41, 7.98)
(1.23, 2.01, 7.98)
(1.36, 1.42, 7.98)
(1.37, 0.47, 7.98)
(1.50, 0.15, 7.98)
(1.46, -0.22, 7.98)
(1.55, -0.38, 7.98)
(1.54, -0.45, 7.98)
(1.45, -0.49, 7.98)
(1.66, -0.40, 7.98)
(1.69, -0.37, 7.98)
(1.70, -0.37, 7.98)
(1.68, -0.37, 7.98)
(1.67, -0.34, 7.98)
(1.69, -0.31, 7.98)
(1.70, -0.34, 7.98)
(1.69, -0.36, 7.98)
(1.68, -0.38, 7.98)
(1.68, -0.34, 7.98)
(1.68, -0.35, 7.98)
(1.56, -0.21, 7.38)
(1.55, -0.22, 7.36)
(1.54, -0.21, 7.34)
(1.53, -0.22, 7.34)
(1.52, -0.21, 7.32)
(1.51, -0.21, 7.32)
(1.51, -0.20, 7.34)
(1.49, -0.20, 7.31)
(1.48, -0.21, 7.33)
(1.47, -0.19, 7.31)
(1.48, -0.18, 7.32)
(1.48, -0.16, 7.34)
(1.47, -0.18, 7.29)
(1.48, -0.15, 7.29)
(1.48, -0.13, 7.31)
(1.47, -0.14, 7.30)
(1.46, -0.12, 7.33)
(1.46, -0.12, 7.34)
(1.45, -0.11, 7.31)
(1.57, -0.26, 7.98)
(1.57, -0.26, 7.98)
(1.57, -0.22, 7.98)
(1.56, -0.20, 7.98)
(1.55, -0.20, 7.98)
(1.55, -0.19, 7.98)
(1.54, -0.17, 7.98)
(1.54, -0.17, 7.98)
(1.52, -0.17, 7.98)
(1.47, -0.17, 7.98)
(1.36, 0.26, 7.98)
(1.25, 1.05, 7.98)
(1.12, 2.03, 7.98)
(0.98, 2.23, 7.98)
(0.94, 2.54, 7.98)
(0.86, 2.30, 7.98)
(0.88, 2.32, 7.98)
(0.82, 2.34, 7.98)
(0.85, 2.38, 7.98)
(1.12, 2.61, 7.98)
(1.02, 2.54, 7.98)
(0.95, 2.49, 7.98)
(0.93, 2.46, 7.98)
(0.94, 2.52, 7.98)
(1.01, 2.60, 7.98)
(1.01, 2.60, 7.98)
(1.13, 2.80, 7.98)
(1.12, 2.80, 7.98)
(1.10, 2.81, 7.98)
(1.10, 2.82, 7.98)
(1.09, 2.79, 7.98)
(1.09, 2.75, 7.98)
(1.07, 2.79, 7.98)
(1.04, 2.70, 7.98)
(1.03, 2.69, 7.98)
(0.99, 2.65, 7.98)
(1.03, 2.84, 7.98)
