(-4.00, -1.05, 7.97)
(4.00, 4.45, 7.98)
(-0.03, 2.04, 7.98)
(0.01, 2.05, 7.98)
(0.04, 2.05, 7.98)
(0.05, 2.07, 7.98)
(0.04, 2.07, 7.98)
(0.04, 2.07, 7.98)
(0.03, 2.07, 7.98)
(-0.03, 2.05, 7.98)
(-0.07, 2.04, 7.98)
(-0.06, 2.03, 7.98)
(-0.07, 2.03, 7.98)
(-0.07, 2.03, 7.98)
(-0.04, 2.04, 7.98)
(0.00, 2.04, 7.98)
(0.01, 2.05, 7.98)
(0.01, 2.04, 7.98)
(0.01, 2.06, 7.98)
(-0.01, 2.05, 7.98)
(-0.03, 2.04, 7.98)
(-0.03, 2.03, 7.98)
(-0.02, 2.02, 7.98)
(-0.02, 2.02, 7.98)
(0.01, 2.06, 7.98)
(0.01, 2.25, 7.98)
(-0.05, 2.28, 7.98)
(-0.10, 2.29, 7.98)
(-0.11, 2.36, 7.98)
(-0.10, 2.37, 7.98)
(-0.08, 2.30, 7.84)
(-0.06, 2.33, 7.82)
(-0.02, 2.41, 7.98)
(-0.02, 2.35, 7.98)
(-0.05, 2.32, 7.98)
(-0.05, 2.31, 7.98)
(-0.02, 2.28, 7.98)
(-0.03, 2.27, 7.98)
(-0.03, 2.23, 7.98)
(-0.03, 2.20, 7.98)
(-0.01, 2.21, 7.98)
(-0.05, 2.17, 7.98)
(-0.01, 2.15, 7.98)
(-0.01, 2.15, 7.98)
(-0.01, 2.16, 7.98)
(-0.02, 2.14, 7.98)
(-0.01, 2.13, 7.98)
(0.01, 2.13, 7.98)
(0.05, 2.12, 7.98)
(0.06, 2.12, 7.98)
(0.07, 2.04, 7.98)
(0.07, 1.90, 7.98)
(0.07, 1.59, 7.98)
(0.06, 1.32, 7.84)
(0.04, 1.16, 7.98)
(0.04, 1.11, 7.98)
(0.09, 1.10, 7.98)
(0.05, 1.12, 7.82)
(0.05, 1.14, 7.81)
(0.05, 1.16, 7.81)
(0.05, 1.08, 7.80)
(0.04, 1.06, 7.80)
(0.05, 1.03, 7.80)
(0.05, 1.01, 7.82)
(0.03, 0.89, 7.79)
(-0.01, 0.81, 7.84)
(0.01, 0.84, 7.79)
(-0.02, 0.80, 7.79)
(-0.01, 0.75, 7.79)
(0.00, 0.72, 7.79)
(0.05, 0.68, 7.81)
(0.07, 0.74, 7.87)
(0.08, 0.77, 7.98)
(0.05, 0.78, 7.98)
(0.03, 0.72, 7.98)
(-0.02, 0.52, 7.81)
(-0.01, 0.37, 7.82)
(-0.08, -0.14, 7.98)
(1.00, -0.24, 7.98)
(-0.02, -0.53, 7.98)
(-0.04, -0.52, 7.98)
(0.29, -0.46, 7.98)
(0.39, -0.40, 7.98)
(0.42, -0.45, 7.98)
(0.12, -0.49, 7.98)
(0.09, -0.49, 7.98)
(0.10, -0.49, 7.98)
(0.11, -0.51, 7.98)
(0.15, -0.51, 7.98)
(0.14, -0.52, 7.98)
(0.17, -0.53, 7.98)
(0.15, -0.52, 7.98)
(0.17, -0.50, 7.98)
(0.08, -0.52, 7.98)
(0.10, -0.52, 7.98)
(0.09, -0.52, 7.98)
(0.09, -0.51, 7.98)
(0.07, -0.51, 7.98)
(0.06, -0.52, 7.98)
(0.06, -0.53, 7.98)
(0.08, -0.53, 7.98)
(0.13, -0.52, 7.98)
(0.04, -0.56, 7.98)
(-0.01, -0.55, 7.98)
(0.07, -0.50, 7.98)
(0.05, -0.48, 7.98)
(0.11, -0.48, 7.98)
(0.15, -0.47, 7.98)
(0.16, -0.47, 7.98)
(0.10, -0.47, 7.98)
(0.15, -0.48, 7.98)
(0.14, -0.48, 7.98)
(0.08, -0.49, 7.98)
(0.13, -0.49, 7.98)
(0.07, -0.47, 7.98)
(0.12, -0.48, 7.98)
(0.05, -0.48, 7.98)
(0.05, -0.48, 7.98)
(0.05, -0.47, 7.98)
(0.04, -0.48, 7.98)
(0.09, -0.48, 7.98)
(0.09, -0.43, 7.98)
(0.08, -0.46, 7.98)
(0.10, -0.46, 7.98)
(0.10, -0.43, 7.98)
(0.09, -0.45, 7.98)
(0.09, -0.44, 7.98)
(0.13, -0.44, 7.98)
(0.14, -0.43, 7.98)
(0.15, -0.42, 7.98)
(0.16, -0.41, 7.98)
(0.00, -0.34, 7.80)
(0.04, -0.33, 7.81)
(0.01, -0.32, 7.79)
(0.01, -0.31, 7.80)
(0.02, -0.31, 7.80)
(0.01, -0.30, 7.79)
(0.02, -0.30, 7.80)
(0.02, -0.30, 7.80)
(0.01, -0.30, 7.79)
(0.01, -0.30, 7.79)
(0.00, -0.30, 7.79)
(0.01, -0.31, 7.79)
(0.01, -0.31, 7.79)
(0.01, -0.31, 7.79)
(0.01, -0.31, 7.79)
(0.00, -0.30, 7.79)
(0.00, -0.30, 7.79)
(0.00, -0.30, 7.79)
(0.00, -0.31, 7.79)
(0.00, -0.31, 7.79)
(-0.01, -0.31, 7.79)
(0.00, -0.30, 7.79)
(0.00, -0.31, 7.79)
(0.00, -0.32, 7.79)
(0.00, -0.31, 7.79)
(0.00, -0.31, 7.79)
(0.00, -0.32, 7.79)
(0.00, -0.31, 7.79)
(0.01, -0.32, 7.80)
(0.02, -0.31, 7.80)
(0.01, -0.31, 7.79)
(0.02, -0.31, 7.80)
(0.02, -0.31, 7.80)
(0.02, -0.31, 7.80)
(0.04, -0.28, 7.81)
(0.06, -0.26, 7.83)
(0.14, -0.22, 7.98)
(0.08, -0.26, 7.85)
