(-4.00, -0.52, 7.97)
(4.00, 3.93, 7.98)
(0.03, 1.93, 7.98)
(-0.07, 1.97, 7.98)
(0.07, 2.06, 7.98)
(0.18, 1.96, 7.98)
(0.23, 1.96, 7.98)
(0.28, 1.95, 7.98)
(0.26, 1.95, 7.98)
(0.29, 1.97, 7.98)
(0.28, 1.98, 7.98)
(0.03, 2.00, 7.98)
(-0.01, 2.01, 7.98)
(-0.08, 2.00, 7.98)
(-0.16, 1.98, 7.98)
(-0.18, 1.99, 7.98)
(-0.18, 2.00, 7.98)
(-0.12, 2.02, 7.98)
(-0.06, 2.03, 7.98)
(0.00, 2.01, 7.98)
(0.05, 1.98, 7.98)
(0.05, 1.97, 7.98)
(0.05, 1.98, 7.98)
(0.04, 1.99, 7.98)
(0.04, 2.00, 7.98)
(0.04, 2.01, 7.98)
(0.02, 2.01, 7.98)
(0.02, 2.01, 7.98)
(0.01, 2.02, 7.98)
(-0.01, 2.02, 7.98)
(0.00, 2.02, 7.98)
(-0.01, 2.01, 7.98)
(0.03, 2.00, 7.98)
(0.04, 2.00, 7.98)
(0.10, 2.00, 7.98)
(0.12, 2.02, 7.98)
(0.12, 2.02, 7.98)
(0.12, 2.02, 7.98)
(0.12, 2.05, 7.98)
(0.15, 2.04, 7.98)
(0.15, 2.05, 7.98)
(-0.38, 2.01, 7.98)
(-0.41, 2.01, 7.98)
(-0.41, 2.02, 7.98)
(-0.40, 2.03, 7.98)
(-0.41, 2.03, 7.98)
(-0.41, 2.02, 7.98)
(-0.38, 2.01, 7.98)
(-0.02, 1.90, 7.98)
(-0.06, 1.91, 7.98)
(-0.06, 1.92, 7.98)
(-0.06, 1.92, 7.98)
(-0.07, 1.93, 7.98)
(-0.08, 1.95, 7.98)
(-0.22, 2.00, 7.98)
(-0.38, 2.00, 7.98)
(-0.40, 2.02, 7.98)
(-0.40, 2.02, 7.98)
(-0.40, 2.01, 7.98)
(-0.34, 2.00, 7.98)
(-0.27, 1.99, 7.98)
(-0.27, 2.01, 7.98)
(-0.41, 1.99, 7.98)
(-0.39, 2.02, 7.98)
(-0.41, 2.00, 7.98)
(-0.39, 1.99, 7.98)
(-0.38, 1.97, 7.98)
(-0.31, 1.96, 7.98)
(-0.05, 1.89, 7.98)
(0.03, 1.86, 7.98)
(0.05, 1.87, 7.98)
(-0.14, 1.92, 7.98)
(-0.25, 1.95, 7.98)
(-0.33, 1.97, 7.98)
(-0.38, 1.99, 7.98)
(-0.34, 1.99, 7.98)
(-0.26, 1.97, 7.98)
(0.19, 1.88, 7.98)
(0.28, 1.86, 7.98)
(0.32, 1.86, 7.98)
(0.23, 1.87, 7.98)
(0.10, 1.90, 7.98)
(-0.03, 1.92, 7.98)
(-0.03, 1.92, 7.98)
(-0.02, 1.92, 7.98)
(-0.01, 1.91, 7.98)
(0.09, 1.92, 7.98)
(0.09, 1.91, 7.98)
(0.08, 1.93, 7.98)
(-0.36, 2.00, 7.98)
(-0.37, 2.01, 7.98)
(-0.37, 2.00, 7.98)
(-0.38, 2.00, 7.98)
(-0.38, 2.00, 7.98)
(-0.38, 2.01, 7.98)
(0.10, 1.97, 7.98)
(0.11, 1.96, 7.98)
(0.21, 1.96, 7.98)
(0.31, 1.92, 7.98)
(0.31, 1.94, 7.98)
(0.24, 1.96, 7.98)
(0.13, 1.94, 7.98)
(0.07, 1.95, 7.98)
(0.01, 1.96, 7.84)
(0.04, 1.95, 7.85)
(0.04, 1.95, 7.85)
(0.05, 1.95, 7.85)
(0.04, 1.93, 7.82)
(0.04, 1.94, 7.98)
(0.04, 1.94, 7.98)
(0.02, 1.93, 7.98)
(0.03, 1.93, 7.98)
(0.03, 1.92, 7.98)
(0.04, 1.92, 7.98)
(0.04, 1.92, 7.98)
(0.05, 1.91, 7.98)
(0.07, 1.91, 7.98)
(0.07, 1.90, 7.98)
(0.07, 1.91, 7.98)
(0.07, 1.91, 7.98)
(0.07, 1.91, 7.98)
(0.07, 1.90, 7.98)
(0.06, 1.91, 7.98)
(0.06, 1.91, 7.98)
(0.06, 1.91, 7.98)
(0.04, 1.91, 7.98)
(0.02, 1.93, 7.98)
(0.00, 1.93, 7.98)
(-0.01, 1.93, 7.98)
(-0.01, 1.92, 7.98)
(0.00, 1.91, 7.98)
(-0.40, 1.98, 7.98)
(-0.39, 1.98, 7.98)
(-0.40, 1.97, 7.98)
(-0.39, 1.95, 7.98)
(-0.39, 1.94, 7.98)
(-0.39, 1.93, 7.98)
(-0.39, 1.93, 7.98)
(-0.39, 1.93, 7.98)
(-0.39, 1.92, 7.98)
(-0.39, 1.92, 7.98)
(-0.38, 1.91, 7.98)
(-0.39, 1.94, 7.98)
(-0.37, 1.97, 7.98)
(-0.39, 1.97, 7.98)
(-0.39, 1.96, 7.98)
(-0.39, 1.97, 7.98)
(-0.39, 1.97, 7.98)
(-0.39, 1.98, 7.98)
(-0.38, 1.96, 7.98)
(-0.37, 1.94, 7.98)
(-0.19, 1.89, 7.98)
(-0.04, 1.85, 7.98)
(0.00, 1.83, 7.98)
(0.02, 1.82, 7.98)
(0.02, 1.83, 7.98)
(0.01, 1.83, 7.98)
(0.00, 1.85, 7.98)
(-0.04, 1.86, 7.98)
(-0.08, 1.88, 7.98)
(-0.11, 1.88, 7.98)
(-0.15, 1.89, 7.98)
(-0.16, 1.89, 7.98)
(-0.17, 1.90, 7.98)
(-0.17, 1.89, 7.98)
(-0.15, 1.89, 7.98)
(-0.11, 1.88, 7.98)
(-0.06, 1.85, 7.98)
(-0.01, 1.85, 7.98)
(0.01, 1.84, 7.98)
(0.04, 1.85, 7.98)
(0.04, 1.86, 7.98)
(0.02, 1.86, 7.98)
(0.00, 1.86, 7.98)
(-0.01, 1.86, 7.98)
(-0.01, 1.86, 7.98)
(-0.01, 1.86, 7.98)
(-0.02, 1.88, 7.98)
(-0.02, 1.89, 7.98)
(-0.04, 1.89, 7.98)
(-0.04, 1.91, 7.98)
(-0.02, 1.89, 7.98)
(0.00, 1.87, 7.98)
(0.01, 1.87, 7.98)
(0.01, 1.87, 7.98)
(0.00, 1.88, 7.98)
(-0.03, 1.89, 7.98)
(-0.08, 1.89, 7.98)
(-0.15, 1.92, 7.98)
(-0.15, 1.92, 7.98)
(-0.14, 1.92, 7.98)
(-0.09, 1.88, 7.98)
(-0.05, 1.88, 7.98)
(-0.01, 1.87, 7.98)
(0.02, 1.85, 7.98)
(-0.01, 1.86, 7.98)
(-0.03, 1.86, 7.98)
(-0.08, 1.87, 7.98)
(-0.09, 1.88, 7.98)
(-0.09, 1.87, 7.98)
(-0.05, 1.87, 7.98)
(-0.02, 1.86, 7.98)
(-0.01, 1.86, 7.98)
(0.01, 1.86, 7.98)
(0.01, 1.85, 7.98)
(0.01, 1.86, 7.98)
(0.00, 1.86, 7.98)
(-0.02, 1.86, 7.98)
(-0.04, 1.87, 7.98)
(-0.33, 1.95, 7.98)
(-0.35, 1.94, 7.98)
(-0.34, 1.94, 7.98)
(-0.35, 1.93, 7.98)
(-0.35, 1.92, 7.98)
(-0.35, 1.92, 7.98)
(-0.35, 1.93, 7.98)
(0.00, 1.91, 7.98)
(0.05, 1.91, 7.98)
(0.06, 1.90, 7.98)
(0.05, 1.91, 7.98)
(0.06, 1.92, 7.98)
(0.05, 1.92, 7.98)
(0.05, 1.93, 7.98)
(0.05, 1.93, 7.98)
(-0.33, 1.96, 7.98)
(-0.33, 1.96, 7.98)
(-0.33, 1.96, 7.98)
(-0.35, 1.96, 7.98)
(-0.34, 1.96, 7.98)
(-0.35, 1.95, 7.98)
(-0.34, 1.95, 7.98)
(-0.35, 1.95, 7.98)
(-0.34, 1.95, 7.98)
(-0.34, 1.96, 7.98)
(-0.34, 1.97, 7.98)
(-0.34, 1.97, 7.98)
(-0.34, 1.97, 7.98)
(-0.34, 1.97, 7.98)
(-0.35, 1.97, 7.98)
(-0.35, 1.97, 7.98)
(-0.36, 1.97, 7.98)
(-0.37, 1.97, 7.98)
(-0.37, 1.97, 7.98)
(-0.37, 1.98, 7.98)
(-0.37, 1.98, 7.98)
(-0.02, 1.88, 7.98)
(-0.02, 1.88, 7.98)
(-0.01, 1.87, 7.98)
(-0.03, 1.87, 7.98)
(-0.03, 1.87, 7.98)
(-0.02, 1.87, 7.98)
(-0.01, 1.87, 7.98)
(-0.01, 1.87, 7.98)
(0.00, 1.87, 7.98)
(0.01, 1.87, 7.98)
(0.02, 1.87, 7.98)
(0.02, 1.87, 7.98)
(0.00, 1.87, 7.98)
(-0.03, 1.86, 7.98)
(-0.32, 1.91, 7.98)
(-0.35, 1.92, 7.98)
(-0.34, 1.92, 7.98)
(-0.32, 1.92, 7.98)
(-0.32, 1.90, 7.98)
(-0.32, 1.89, 7.98)
(-0.30, 1.88, 7.98)
(0.08, 1.87, 7.98)
(0.08, 1.87, 7.98)
(0.08, 1.87, 7.98)
(0.05, 1.87, 7.98)
(0.02, 1.88, 7.98)
(-0.08, 1.87, 7.98)
(-0.33, 1.88, 7.98)
(-0.33, 1.88, 7.98)
(-0.34, 1.87, 7.98)
(-0.34, 1.88, 7.98)
(-0.33, 1.89, 7.98)
(-0.33, 1.89, 7.98)
(-0.04, 1.83, 7.98)
(-0.02, 1.82, 7.98)
(0.00, 1.81, 7.98)
(0.01, 1.80, 7.98)
(0.01, 1.80, 7.98)
(0.01, 1.80, 7.98)
(0.02, 1.79, 7.98)
(0.02, 1.80, 7.98)
(0.02, 1.79, 7.98)
(0.00, 1.80, 7.98)
(0.01, 1.79, 7.98)
(0.00, 1.79, 7.98)
(-0.03, 1.82, 7.98)
(-0.04, 1.82, 7.98)
(-0.05, 1.83, 7.98)
(-0.06, 1.82, 7.98)
(-0.06, 1.83, 7.98)
(-0.08, 1.84, 7.98)
(-0.10, 1.84, 7.98)
(-0.10, 1.84, 7.98)
(-0.09, 1.84, 7.98)
(-0.05, 1.82, 7.98)
(-0.03, 1.81, 7.98)
(-0.02, 1.81, 7.98)
(0.00, 1.80, 7.98)
(-0.01, 1.81, 7.98)
(-0.01, 1.81, 7.98)
(-0.03, 1.81, 7.98)
(-0.05, 1.82, 7.98)
(-0.06, 1.82, 7.98)
(-0.05, 1.82, 7.98)
(-0.05, 1.82, 7.98)
(-0.04, 1.82, 7.98)
(-0.02, 1.82, 7.98)
(-0.02, 1.82, 7.98)
(-0.02, 1.83, 7.98)
(-0.09, 1.84, 7.98)
