(-4.00, -1.05, 7.97)
(4.00, 4.45, 7.98)
(-0.09, 1.70, 7.98)
(-0.10, 1.70, 7.98)
(-0.11, 1.69, 7.98)
(-0.10, 1.69, 7.98)
(-0.10, 1.70, 7.98)
(-0.12, 1.72, 7.98)
(-0.11, 1.72, 7.98)
(-0.12, 1.74, 7.98)
(-0.06, 1.70, 7.98)
(-0.07, 1.72, 7.98)
(-0.08, 1.72, 7.98)
(-0.07, 1.73, 7.98)
(-0.08, 1.71, 7.98)
(-0.07, 1.76, 7.98)
(0.00, 1.78, 7.98)
(-0.02, 1.76, 7.98)
(-0.02, 1.77, 7.98)
(0.04, 1.80, 7.98)
(0.25, 1.81, 7.98)
(0.28, 1.84, 7.98)
(0.30, 1.83, 7.98)
(0.30, 1.83, 7.98)
(0.26, 1.83, 7.98)
(0.03, 1.78, 7.98)
(-0.02, 1.77, 7.98)
(-0.01, 1.76, 7.98)
(-0.08, 1.75, 7.98)
(-0.09, 1.74, 7.98)
(-0.11, 1.73, 7.98)
(-0.12, 1.71, 7.98)
(-0.07, 1.71, 7.98)
(-0.07, 1.72, 7.98)
(-0.10, 1.69, 7.98)
(-0.10, 1.70, 7.98)
(-0.10, 1.72, 7.98)
(0.21, 1.77, 7.98)
(0.30, 1.78, 7.98)
(0.51, 1.90, 7.98)
(1.19, 1.91, 7.98)
(1.93, 1.93, 7.98)
(1.87, 1.80, 7.98)
(1.56, 1.72, 7.79)
(1.70, 1.66, 7.98)
(1.70, 1.68, 7.98)
(1.63, 1.68, 7.98)
(1.54, 1.65, 7.91)
(1.50, 1.62, 7.98)
(1.42, 1.63, 7.82)
(1.41, 1.66, 7.82)
(1.42, 1.68, 7.81)
(1.38, 1.64, 7.84)
(1.25, 1.63, 7.83)
(1.25, 1.64, 7.81)
(1.25, 1.68, 7.79)
(1.34, 1.70, 7.98)
(1.38, 1.78, 7.98)
(1.39, 1.66, 7.98)
(1.40, 1.69, 7.98)
(1.42, 1.68, 7.98)
(1.43, 1.75, 7.98)
(0.44, 1.73, 7.98)
(0.14, 1.69, 7.98)
(-0.03, 1.67, 7.98)
(0.01, 1.71, 7.98)
(0.04, 1.68, 7.98)
(0.05, 1.68, 7.98)
(0.07, 1.66, 7.98)
(0.02, 1.65, 7.98)
(-0.10, 1.64, 7.98)
(-0.09, 1.64, 7.98)
(-0.10, 1.64, 7.98)
(-0.16, 1.62, 7.98)
(-0.20, 1.65, 7.98)
(0.33, 1.93, 7.98)
(0.58, 2.06, 7.98)
(0.51, 1.95, 7.98)
(0.44, 1.91, 7.98)
(0.47, 1.93, 7.98)
(0.48, 1.92, 7.98)
(0.47, 1.91, 7.98)
(0.45, 1.95, 7.98)
(0.45, 1.94, 7.98)
(0.45, 1.94, 7.98)
(0.44, 1.99, 7.98)
(0.40, 1.97, 7.98)
(0.31, 1.95, 7.98)
(0.23, 1.96, 7.98)
(0.09, 1.95, 7.98)
(0.02, 1.94, 7.98)
(0.04, 1.94, 7.98)
(0.19, 1.67, 7.83)
(0.15, 1.70, 7.89)
(0.17, 1.61, 7.83)
(0.13, 1.65, 7.81)
(0.17, 1.65, 7.79)
(0.22, 1.67, 7.84)
(0.23, 1.69, 7.86)
(0.21, 1.68, 7.98)
(0.19, 1.67, 7.86)
(0.18, 1.66, 7.98)
(0.17, 1.65, 7.98)
(0.16, 1.66, 7.98)
(0.15, 1.66, 7.98)
(0.13, 1.66, 7.98)
(0.08, 1.68, 7.98)
(0.12, 1.71, 7.98)
(0.18, 1.72, 7.98)
(0.20, 1.73, 7.98)
(0.20, 1.73, 7.98)
(0.12, 1.72, 7.98)
(-0.04, 1.69, 7.98)
(-0.10, 1.68, 7.98)
(-0.03, 1.69, 7.98)
(0.08, 1.71, 7.98)
(0.09, 1.70, 7.98)
(0.06, 1.71, 7.98)
(-0.03, 1.72, 7.98)
(-0.16, 1.72, 7.98)
(-0.27, 1.73, 7.98)
(-0.35, 1.71, 7.98)
(-0.42, 1.71, 7.98)
(-0.47, 1.72, 7.98)
(-0.46, 1.76, 7.98)
(-0.30, 1.78, 7.98)
(-0.19, 1.78, 7.98)
(-0.17, 1.75, 7.98)
(-0.24, 1.75, 7.98)
(-0.32, 1.75, 7.98)
(-0.35, 1.74, 7.98)
(-0.43, 1.73, 7.98)
(-0.40, 1.74, 7.98)
(-0.52, 1.74, 7.98)
(-0.67, 1.75, 7.98)
(-0.74, 1.75, 7.98)
(-0.82, 1.75, 7.98)
(-0.85, 1.76, 7.98)
(-0.87, 1.75, 7.98)
(-0.88, 1.75, 7.98)
(-0.92, 1.74, 7.98)
(-0.94, 1.74, 7.98)
(-0.96, 1.74, 7.98)
(-0.96, 1.74, 7.98)
(-0.99, 1.72, 7.98)
(-1.02, 1.71, 7.98)
(-1.03, 1.73, 7.98)
(-1.10, 1.74, 7.98)
(-1.09, 1.72, 7.98)
(-0.91, 1.73, 7.98)
(-0.90, 1.74, 7.98)
(-0.86, 1.77, 7.98)
(-0.92, 1.76, 7.98)
(-1.04, 1.73, 7.98)
(-1.23, 1.66, 7.98)
(-1.32, 1.75, 7.98)
(-1.43, 1.65, 7.98)
(-1.54, 1.56, 7.98)
(-1.66, 1.47, 7.98)
(-1.70, 1.49, 7.98)
(-1.63, 1.57, 7.98)
(-1.49, 1.65, 7.98)
(-1.55, 1.60, 7.83)
(-1.59, 1.59, 7.83)
(-1.63, 1.57, 7.81)
(-1.66, 1.57, 7.81)
(-1.67, 1.58, 7.82)
